EU697949;no;;;;Ganjam G619 or Ganjam;;India;;;;Bhanjanagar, Orissa;;;1954;;;;12081;Nairobi sheep disease virus strain Ganjam G619 segment L RNA-dependent RNA polymerase gene, complete cds;
HM452307;no;;;;Afg09-2990;;Afghanistan;;;;;;;2009;;;;12167;Crimean-Congo hemorrhagic fever virus strain Afg09-2990 segment L, complete sequence;
AY947890;no;;;;Baghdad-12;;Iraq;;;;;;;;;;;12162;Crimean-Congo hemorrhagic fever virus strain Baghdad-12 segment L, complete sequence;
KU925464;no;Nairobi sheep disease;;;IG 619 or IG;;India;;;;Bhanjanger, Ganjam District, Orissa;;adult male tick removed from healthy goats;06-Nov-1954;;;;12038;Ganjam virus strain IG 619 segment L, complete sequence;
KY484046;no;;;;UG3010;UCCR4432;Democratic Republic of the Congo;;;;;;;1956;;;;12128;Crimean-Congo hemorrhagic fever nairovirus isolate UCCR4432 segment L, complete sequence;
EU257628;no;;;;;K611;Kenya;;;;;;;1999;;;;12330;Kupe virus isolate K611 segment L, complete sequence;
DQ099335;no;;;;Congo 3010 or Congo;;Democratic Republic of the Congo;;;;;;;;;;;12128;Crimean-Congo hemorrhagic fever virus strain Congo 3010 segment L, complete sequence;
AY720893;no;;;;TADJ/HU8966;;Tajikistan;;;;;;;;;;;12133;Crimean-Congo hemorrhagic fever virus strain TADJ/HU8966 segment L, complete sequence;
JN572090;no;;;;;NIVA 118595 or NIVA;India;;;;;;;2011;;;;12166;Crimean-Congo hemorrhagic fever virus isolate NIVA 118595 segment L, complete sequence;
HQ378182;no;;;;Sudan Al-Fulah 9-2008 or Sudan;;Sudan;;;;Al-Fulah City, Western Kordufan Province;;sera;Oct-2008;;;;12170;Crimean-Congo hemorrhagic fever virus strain Sudan Al-Fulah 9-2008 segment L RNA-dependent RNA polymerase gene, complete cds;
NC_038709;no;;;;;JC280;Pakistan;;;;;;;1964;;;;11980;Hazara virus isolate JC280 segment L, complete sequence;
MF289414;no;;;;;813040 UAE or 813040;United Arab Emirates;;;;;;serum;16-Sep-1995;;;;12310;Crimean-Congo hemorrhagic fever orthonairovirus isolate 813040 UAE segment L, complete sequence;
KY213712;no;;;;NIV161064;;India;;;;;;;2016;;;;12110;Crimean-Congo hemorrhagic fever nairovirus strain NIV161064 segment L, complete sequence;
KC867272;no;;;;;Zahedan 2007 or Zahedan;Iran;;;;;;;2007;;;;12167;Crimean-Congo hemorrhagic fever virus isolate Zahedan 2007 segment L, complete sequence;
EU816901;no;;;;;Kupe_838;Kenya;;;;;;tick pool;30-Sep-1999;;;;1530;Kupe virus isolate Kupe_838 RNA-dependent RNA polymerase gene, partial cds;
KC344855;no;;;;SCT ex Afghanistan or SCT;;Afghanistan;;;;;;serum from CCHF patient with fatal infection;03-Oct-2012;;;;12168;Crimean-Congo hemorrhagic fever virus strain SCT ex Afghanistan segment L, complete sequence;
KY484039;no;;;;JD-206;UCCR4413;Pakistan;;;;;;tick;1965;;;;12167;Crimean-Congo hemorrhagic fever nairovirus isolate UCCR4413 segment L, complete sequence;
KX013453;no;;;;;K128_76;Kazakhstan;;;;;;;1971;;;;12120;Crimean-Congo hemorrhagic fever nairovirus isolate K128_76 segment L, complete sequence;
MF289417;no;;;;;813042 UAE or 813042;United Arab Emirates;;;;;;serum;26-Oct-1998;;;;12146;Crimean-Congo hemorrhagic fever orthonairovirus isolate 813042 UAE segment L, complete sequence;
DVU15018;no;;;;;ArD44313;;;;;;;;;;;;12255;Dugbe virus L protein gene, complete cds;
MH461099;no;;;;;Iran-5900;Iran;;;;;;;03-Aug-2017;;;;12143;Crimean-Congo hemorrhagic fever orthonairovirus isolate Iran-5900 segment L, complete sequence;
JN627865;no;;;;;NIV 11704 or NIV;India;;;;;;;2011;;;;12157;Crimean-Congo hemorrhagic fever virus isolate NIV 11704 segment L, complete sequence;
JN572092;no;;;;;NIVA 118594 or NIVA;India;;;;;;;2011;;;;12166;Crimean-Congo hemorrhagic fever virus isolate NIVA 118594 segment L, complete sequence;
KU925455;no;Nairobi sheep disease;;;Ib Ar 1792 or Ib;;Nigeria;;;;University of Ibadan, Ibadan;;adult male tick picked by hand from cattle;1964;;;;12255;Dugbe virus strain Ib Ar 1792 segment L, partial sequence;
JF785543;no;;;;;NJT 197 or NJT;Kenya;;;;;;;Oct-1999;;;;12136;Dugbe virus isolate NJT 197 putative RNA polymerase gene, partial cds;
KM464726;no;;;;;Jilin;China;;;;;;;2013;;;;12081;Nairobi sheep disease virus isolate Jilin segment L RNA-dependent RNA polymerase gene, complete cds;
EU816900;no;;;;;Kupe_669;Kenya;;;;;;tick pool;18-Oct-1999;;;;1530;Kupe virus isolate Kupe_669 RNA-dependent RNA polymerase gene, partial cds;
KJ648910;no;;;;;;;;;;;;;;;;;16016;Reverse genetics vector pC-Lopti, complete sequence;
KX013459;no;;;;;K168_125;Turkmenistan;;;;;;;1973;;;;12120;Crimean-Congo hemorrhagic fever nairovirus isolate K168_125 segment L, complete sequence;
DQ076412;no;;;;Semunya;;Uganda;;;;;;;;;;;11838;Crimean-Congo hemorrhagic fever virus strain Semunya L protein gene, complete cds;
AY359524;no;;;;JC 280 or JC;;;;;;;;;;;;;442;Hazara virus strain JC 280 RNA-dependent RNA polymerase gene, partial cds;
DQ211624;no;;;;UG3010;;Republic of the Congo;;;;;;;1956;;;;12128;Crimean-Congo hemorrhagic fever virus strain UG3010 segment L, complete sequence;
LC420025;no;;;;JC280;;Japan;;;;Wakayama, Wakayama;;;2018-07-02;;;;11772;Hazara virus JC280 mRNA for L protein, partial cds;
EU816898;no;;;;;Kupe_225;Kenya;;;;;;tick pool;26-Oct-1999;;;;1530;Kupe virus isolate Kupe_225 RNA-dependent RNA polymerase gene, partial cds;
KX013456;no;;;;;K168_40;Turkmenistan;;;;;;;1973;;;;12131;Crimean-Congo hemorrhagic fever nairovirus isolate K168_40 segment L, complete sequence;
KY982865;no;;;;;Russia_Kalmykia_Shch_2_2016;Russia;;;;Kalmykia;;serum;2016;;;;12111;Crimean-Congo hemorrhagic fever orthonairovirus isolate Russia_Kalmykia_Shch_2_2016 segment L, complete sequence;
MH791449;no;;;;;Hubei;China;;;;;;;2016-05;;;;12054;Nairobi sheep disease virus isolate Hubei RNA-dependent RNA polymerase mRNA, complete cds;
EU697951;no;;;;708;;Kenya;;;;;;;;;;;12081;Nairobi sheep disease virus strain 708 segment L RNA-dependent RNA polymerase gene, complete cds;
LC008512;no;;;;Toku_Hfla_2013;;Japan;;;;;;;2013-11-12;;;;12143;Tofla virus viral cRNA, complete genome, segment: L;
MF511200;no;;;;;Tur_2004_813153_L;Turkey;;;;;;serum;2004;;;;12134;Crimean-Congo hemorrhagic fever orthonairovirus isolate Tur_2004_813153_L RNA-dependent RNA polymerase (L) gene, complete cds;
KX013444;no;;;;;Gaib;Tajikistan;;;;;;serum from CCHF patient;1969;;;;12121;Crimean-Congo hemorrhagic fever nairovirus isolate Gaib segment L, complete sequence;
